wavelength,earthshine,zodi,tot_bkg
1000,1.32E-22,2.56E-28,1.32E-22
1100,3.38E-22,1.37E-26,3.38E-22
1200,8.25E-23,1.27E-25,8.26E-23
1300,5.41E-24,6.88E-25,6.10E-24
1400,4.65E-25,2.68E-24,3.14E-24
1500,3.97E-25,4.60E-23,4.64E-23
1600,3.42E-25,2.32E-22,2.33E-22
1700,1.24E-23,6.49E-21,6.50E-21
1800,1.26E-22,1.35E-20,1.37E-20
1900,4.69E-22,2.13E-20,2.18E-20
2000,1.02E-21,4.22E-20,4.32E-20
2100,1.42E-21,1.21E-19,1.22E-19
2200,8.02E-22,2.00E-19,2.01E-19
2300,3.73E-22,1.97E-19,1.97E-19
2400,2.59E-22,2.14E-19,2.14E-19
2500,2.80E-22,2.05E-19,2.06E-19
2600,1.29E-21,4.73E-19,4.75E-19
2700,5.42E-21,8.26E-19,8.31E-19
2800,7.72E-21,7.48E-19,7.56E-19
2900,4.43E-20,1.52E-18,1.56E-18
3000,1.01E-19,1.72E-18,1.82E-18
3100,2.12E-19,1.92E-18,2.14E-18
3200,3.50E-19,2.24E-18,2.59E-18
3300,4.45E-19,2.72E-18,3.17E-18
3400,6.36E-19,2.65E-18,3.28E-18
3500,8.28E-19,2.67E-18,3.50E-18
3600,1.05E-18,2.53E-18,3.58E-18
3700,1.20E-18,3.03E-18,4.23E-18
3800,1.26E-18,2.87E-18,4.13E-18
3900,1.59E-18,2.83E-18,4.42E-18
4000,2.33E-18,4.22E-18,6.55E-18
4250,2.31E-18,4.42E-18,6.73E-18
4500,2.70E-18,5.16E-18,7.86E-18
4750,2.75E-18,5.23E-18,7.98E-18
5000,2.65E-18,5.10E-18,7.75E-18
5250,2.56E-18,5.02E-18,7.58E-18
5500,2.55E-18,5.16E-18,7.71E-18
5750,2.53E-18,5.25E-18,7.78E-18
6000,2.43E-18,5.14E-18,7.57E-18
6250,2.31E-18,5.00E-18,7.31E-18
6500,2.18E-18,4.80E-18,6.98E-18
6750,2.08E-18,4.69E-18,6.77E-18
7000,1.94E-18,4.48E-18,6.42E-18
7250,1.83E-18,4.30E-18,6.13E-18
7500,1.74E-18,4.13E-18,5.87E-18
7750,1.64E-18,3.97E-18,5.62E-18
8000,1.56E-18,3.83E-18,5.39E-18
8250,1.48E-18,3.68E-18,5.15E-18
8500,1.38E-18,3.47E-18,4.84E-18
8750,1.30E-18,3.31E-18,4.61E-18
9000,1.22E-18,3.17E-18,4.40E-18
9250,1.15E-18,3.03E-18,4.18E-18
9500,1.10E-18,2.92E-18,4.02E-18
9750,1.05E-18,2.81E-18,3.86E-18
10000,9.99E-19,2.70E-18,3.70E-18
10250,9.48E-19,2.60E-18,3.55E-18
10500,8.99E-19,2.49E-18,3.39E-18
10750,8.42E-19,2.36E-18,3.20E-18
11000,8.02E-19,2.24E-18,3.04E-18
